Date,USD_NGN,GBP_NGN,EUR_NGN,Day,Month,Year,Weekday,Is_Weekend,USD_Diff,EUR_Diff,GBP_Diff,USD_MA7,EUR_MA7,GBP_MA7,USD_Rate_Category,lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,target
2016-02-19,198.9644,221.4541,286.6281,19,February,2016,Friday,False,0.0576000000000079,0.497900000000016,1.59460000000001,199.023414285714,222.218842857143,286.574357142857,Low,198.9068,198.9448,198.7255,199.2202,199.0206142857143,0.19435419066638962,198.95989285714288,0.1733759563849741,199.00879666666665,0.22291292637898247,199.0402
2016-02-20,199.0402,221.5385,286.7373,20,February,2016,Saturday,True,0.0757999999999868,0.084399999999988,0.109199999999987,199.001942857143,221.842842857143,286.270242857143,Low,198.9644,199.1905,199.0307,198.8594,199.0234142857143,0.19321778238450452,198.97695714285715,0.15975306287691593,199.00027,0.2194125057725041,199.1905
2016-02-21,199.1905,221.542,284.1054,21,February,2016,Sunday,True,0.150299999999987,0.0035000000000025,-2.63190000000003,198.986857142857,221.5368,285.519871428571,Low,199.0402,199.2961,199.0702,199.0597,199.00194285714286,0.1794136919473058,198.9776357142857,0.1600188575758324,199.00629666666666,0.2178875073295606,199.0899
2016-02-22,199.0899,219.5233,281.6923,22,February,2016,Monday,False,-0.100599999999986,-2.01869999999999,-2.41309999999999,199.041271428571,221.168814285714,284.736728571429,Low,199.1905,198.709,198.8601,199.062,198.98685714285713,0.15306205557931726,198.98622857142854,0.1683832141659023,199.01065666666668,0.22028842172670265,199.184
2016-02-23,199.184,219.5758,279.0369,23,February,2016,Tuesday,False,0.0940999999999974,0.0524999999999807,-2.65539999999999,199.053828571429,220.8414,283.918114285714,Low,199.0899,199.0961,198.7291,199.328,199.04127142857143,0.09421145922144304,199.00264285714283,0.16633033265189706,199.01158666666666,0.22057136577990827,198.7666
2016-02-24,198.7666,218.9152,276.862,24,February,2016,Wednesday,False,-0.417399999999986,-0.660599999999988,-2.17489999999998,199.020342857143,220.500728571429,282.870785714286,Low,199.184,199.001,198.9067,199.0676,199.05382857142857,0.10763851099226422,199.0351357142857,0.15265316448086055,199.00678666666667,0.21494328479362962,198.725
2016-02-25,198.725,219.0556,277.4996,25,February,2016,Thursday,False,-0.0416000000000167,0.1404,0.637599999999964,198.994371428571,220.229214285714,281.794514285714,Low,198.7666,198.9068,198.9719,199.0185,199.02034285714285,0.15350170311158978,199.02512857142855,0.16575063489073075,198.99675333333334,0.21899371701413575,199.0569
2016-02-26,199.0569,217.6425,275.9924,26,February,2016,Friday,False,0.331900000000019,-1.41309999999999,-1.50720000000001,199.007585714286,219.6847,280.275128571429,Low,198.725,198.9644,198.9448,199.0967,198.9943714285714,0.18752353376391087,199.00749285714284,0.18398205792145036,198.98697,0.22447599848595015,199.5407
2016-02-27,199.5407,218.1714,276.6632,27,February,2016,Saturday,True,0.483799999999974,0.528899999999993,0.670800000000042,199.079085714286,219.203685714286,278.835971428571,Low,199.0569,199.0402,199.1905,198.8347,199.00758571428568,0.1883169617858583,199.0155,0.18348239068628996,198.98564333333334,0.22392205183626535,199.815
2016-02-28,199.815,218.2864,276.9836,28,February,2016,Sunday,True,0.274300000000011,0.114999999999981,0.320400000000007,199.1683,218.7386,277.818571428571,Low,199.5407,199.1905,199.2961,199.0305,199.0790857142857,0.2769299154953314,199.0405142857143,0.22771528733828628,199.00917666666666,0.24373395286935964,198.7737
